control_number,species_code,genus,species,subspecies,specific_name,generic_name,wildlife_description,quantity,unit,value,country_origin_iso2c,country_imp_exp_iso2c,purpose,source_,action,disposition,disposition_date,shipment_date,import_export,port,us_co,foreign_co,file_num,description,country_origin,country_imp_exp,source
2013309106,PYTR,python,reticulatus,NA,RETICULATED,PYTHON,JWL,3,NO,NA,XX,BR,T,W,R,S,7/16/13,7/4/13,I,ME,EXEMPTIONS 6 AND 7(C),R.W. IMPORTACAO E EXPORTACAO LTDA,1,JWL,XX,BR,W
2013309612,AAER,alces,americanus,NA,NA,MOOSE,MEA,4,NO,NA,US,CA,P,W,C,C,6/5/13,6/5/13,I,SW,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,MEA,US,CA,W
2013309644,ELE#,elephantidae,NA,NA,NA,ELEPHANTS,SHO,2,NO,NA,XX,MX,P,W,R,S,7/7/13,7/7/13,I,EL,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,SHO,XX,MX,W
2013309644,ELE#,elephantidae,NA,NA,NA,ELEPHANTS,LPS,1,NO,NA,XX,MX,P,W,R,S,7/7/13,7/7/13,I,EL,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,LPS,XX,MX,W
2013309669,BLBE,ursus,americanus,NA,AMERICAN BLACK,BEAR,TRO,1,NO,NA,CA,CA,H,W,C,C,6/8/13,6/8/13,I,6,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,TRO,CA,CA,W
2013309688,BLBE,ursus,americanus,NA,AMERICAN BLACK,BEAR,TRO,1,NO,NA,CA,CA,H,W,C,C,6/8/13,6/8/13,I,6,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,TRO,CA,CA,W
2013309715,AAER,alces,americanus,NA,NA,MOOSE,HOR,1,NO,NA,CA,CA,H,W,C,C,6/25/13,6/25/13,I,6,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,HOR,CA,CA,W
2013309732,AAER,alces,americanus,NA,NA,MOOSE,HOR,2,NO,NA,CA,CA,H,W,C,C,6/26/13,6/26/13,I,6,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,HOR,CA,CA,W
2013309735,AAER,alces,americanus,NA,NA,MOOSE,TRO,1,NO,NA,CA,CA,H,W,C,C,6/26/13,6/26/13,I,6,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,TRO,CA,CA,W
2013309738,ALLM,alligator,mississippiensis,NA,AMERICAN,ALLIGATOR,JWL,1,NO,NA,US,CN,P,W,R,R,7/17/13,7/16/13,I,AN,EXEMPTIONS 6 AND 7(C),GUANGZHOU WANGXI TRADING CO. LTD,1,JWL,US,CN,W
2013310408,MOLL,NA,NA,NA,SHELLS,MOLLUSCS,SHE,1,NO,NA,TR,OM,P,W,R,S,6/15/13,6/15/13,I,AT,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,SHE,TR,OM,W
2013310466,ABUF,syncerus,caffer,NA,AFRICAN,BUFFALO,TRO,2,NO,NA,TZ,TZ,H,W,C,C,7/18/13,7/2/13,I,HN,BRUSH COUNTRY STUDIOS,TANZANIA BIG GAME SAFARIS LTD,1,TRO,TZ,TZ,W
2013310466,DAKO,damaliscus,korrigum,NA,NA,TOPI,TRO,2,NO,NA,TZ,TZ,H,W,C,C,7/18/13,7/2/13,I,HN,BRUSH COUNTRY STUDIOS,TANZANIA BIG GAME SAFARIS LTD,1,TRO,TZ,TZ,W
2013310466,ELAN,taurotragus,oryx,NA,COMMON,ELAND,TRO,1,NO,NA,TZ,TZ,H,W,C,C,7/18/13,7/2/13,I,HN,BRUSH COUNTRY STUDIOS,TANZANIA BIG GAME SAFARIS LTD,1,TRO,TZ,TZ,W
2013310466,HIAM,hippopotamus,amphibius,NA,COMMON,HIPPOPOTAMUS,TEE,9,NO,NA,TZ,TZ,H,W,C,C,7/18/13,7/2/13,I,HN,BRUSH COUNTRY STUDIOS,TANZANIA BIG GAME SAFARIS LTD,1,TEE,TZ,TZ,W
2013310466,HIPE,hippotragus,equinus,NA,ROAN,ANTELOPE,TRO,1,NO,NA,TZ,TZ,H,W,C,C,7/18/13,7/2/13,I,HN,BRUSH COUNTRY STUDIOS,TANZANIA BIG GAME SAFARIS LTD,1,TRO,TZ,TZ,W
2013310466,IMPA,aepyceros,melampus,NA,NA,IMPALA,TRO,1,NO,NA,TZ,TZ,H,W,C,C,7/18/13,7/2/13,I,HN,BRUSH COUNTRY STUDIOS,TANZANIA BIG GAME SAFARIS LTD,1,TRO,TZ,TZ,W
2013310466,ORIB,ourebia,ourebi,NA,NA,ORIBI,TRO,1,NO,NA,TZ,TZ,H,W,C,C,7/18/13,7/2/13,I,HN,BRUSH COUNTRY STUDIOS,TANZANIA BIG GAME SAFARIS LTD,1,TRO,TZ,TZ,W
2013310466,PANP,panthera,pardus,NA,NA,LEOPARD,TRO,1,NO,NA,TZ,TZ,H,W,C,C,7/18/13,7/2/13,I,HN,BRUSH COUNTRY STUDIOS,TANZANIA BIG GAME SAFARIS LTD,1,TRO,TZ,TZ,W
2013310466,RERE,redunca,redunca,NA,COMMON,REEDBUCK,TRO,1,NO,NA,TZ,TZ,H,W,C,C,7/18/13,7/2/13,I,HN,BRUSH COUNTRY STUDIOS,TANZANIA BIG GAME SAFARIS LTD,1,TRO,TZ,TZ,W
2013310466,WATE,kobus,ellipsiprymnus,NA,NA,WATERBUCK,TRO,2,NO,NA,TZ,TZ,H,W,C,C,7/18/13,7/2/13,I,HN,BRUSH COUNTRY STUDIOS,TANZANIA BIG GAME SAFARIS LTD,1,TRO,TZ,TZ,W
2013310466,WHOG,phacochoerus,aethiopicus,NA,DESERT,WARTHOG,TRO,1,NO,NA,TZ,TZ,H,W,C,C,7/18/13,7/2/13,I,HN,BRUSH COUNTRY STUDIOS,TANZANIA BIG GAME SAFARIS LTD,1,TRO,TZ,TZ,W
2013310493,AAER,alces,americanus,NA,NA,MOOSE,HOR,2,NO,NA,US,CA,P,W,C,C,6/24/13,6/24/13,I,SW,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,HOR,US,CA,W
2013310613,AAER,alces,americanus,NA,NA,MOOSE,HOR,1,NO,NA,CA,CA,H,W,C,C,6/5/13,6/5/13,I,SW,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,HOR,CA,CA,W
2013311404,CY0?,crocodylus,species,NA,NA,CROCODILE,LPS,1,NO,NA,XX,SG,T,W,R,R,7/17/13,6/22/13,I,ME,EXEMPTIONS 6 AND 7(C),AZIMUTH WATCH COMPANY PTE LTD,1,LPS,XX,SG,W
2013311419,FECA,caracal,caracal,NA,NA,CARACAL,TRO,1,NO,NA,ZA,ZA,H,C,C,C,7/19/13,7/4/13,I,NY,EXEMPTIONS 6 AND 7(C),TROPHY SOLUTIONS OF AFRICA,1,TRO,ZA,ZA,C
2013311941,ELE#,elephantidae,NA,NA,NA,ELEPHANTS,IVC,1,NO,NA,XX,AR,T,U,R,S,7/15/13,7/15/13,I,MI,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,IVC,XX,AR,U
2013311968,NONS,noncites entry,NA,NA,NA,MOLLUSCS,SPR,1,NO,NA,PH,PH,P,W,R,A,7/19/13,7/19/13,I,CH,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,SPR,PH,PH,W
2013312032,BLBE,ursus,americanus,NA,AMERICAN BLACK,BEAR,BON,1,NO,NA,CA,CA,H,W,C,C,6/28/13,6/5/13,I,6,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,BON,CA,CA,W
2013312068,LOXA,loxodonta,africana,NA,AFRICAN,ELEPHANT,KEY,52,NO,NA,XX,AR,P,O,C,C,7/22/13,7/16/13,I,SF,EXEMPTIONS 6 AND 7(C),CLAUDIA ELENA SZTARKER DE ETKIN,1,KEY,XX,AR,O
2013312085,CRL?,corallium,species,NA,RED,CORAL,CPR,9,NO,NA,XX,CN,T,W,R,R,7/22/13,7/8/13,I,AN,EXEMPTIONS 6 AND 7(C),CHUANG YUAN JIA YI ECOM CO LTD,1,CPR,XX,CN,W
2013312517,EL00,elephantidae,NA,NA,NA,ALL ELEPHANTS,IJW,1,NO,NA,TH,TH,T,W,R,S,7/19/13,7/19/13,I,DF,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,IJW,TH,TH,W
2013312517,EL00,elephantidae,NA,NA,NA,ALL ELEPHANTS,IJW,1,NO,NA,TH,TH,T,W,R,S,7/19/13,7/19/13,I,DF,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,IJW,TH,TH,W
2013312517,PANT,panthera,tigris,NA,NA,TIGER,SKP,1,NO,NA,TH,TH,T,W,R,S,7/19/13,7/19/13,I,DF,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,SKP,TH,TH,W
2013312517,PANT,panthera,tigris,NA,NA,TIGER,TEE,2,NO,NA,TH,TH,T,W,R,S,7/19/13,7/19/13,I,DF,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,TEE,TH,TH,W
2013312724,HOPH,hippopus,hippopus,NA,BEAR PAW,CLAM,SHE,1,NO,NA,CN,CN,P,W,R,A,7/23/13,7/23/13,I,CH,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,SHE,CN,CN,W
2013312724,NONS,noncites entry,NA,NA,NA,MOLLUSCS,SHE,2,NO,NA,CN,CN,P,W,R,A,7/23/13,7/23/13,I,CH,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,SHE,CN,CN,W
2013312724,SC00,scleractinia,NA,NA,STONY,CORAL,ROC,1,NO,NA,CN,CN,P,W,R,A,7/23/13,7/23/13,I,CH,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,ROC,CN,CN,W
2013313167,VARS,varanus,salvator,NA,WATER,MONITOR,SKI,400,NO,NA,ID,SG,T,W,C,C,7/23/13,7/19/13,I,ME,EXEMPTIONS 6 AND 7(C),KUSUMO JAYA TRADING PTE LTD,1,SKI,ID,SG,W
2013313267,MLT?,melithaea,species,NA,NA,SEA FAN,SPR,4,NO,NA,CO,CO,P,W,C,C,7/23/13,7/10/13,I,LO,EXEMPTIONS 6 AND 7(C),IRIS RIVERA,1,SPR,CO,CO,W
2013313267,NONS,noncites entry,NA,NA,NA,MOLLUSCS,SPR,50,NO,NA,CO,CO,P,W,C,C,7/23/13,7/10/13,I,LO,EXEMPTIONS 6 AND 7(C),IRIS RIVERA,1,SPR,CO,CO,W
2013313267,SC00,scleractinia,NA,NA,STONY,CORAL,CPR,10,NO,NA,CO,CO,P,W,R,S,7/23/13,7/10/13,I,LO,EXEMPTIONS 6 AND 7(C),IRIS RIVERA,1,CPR,CO,CO,W
2013313267,TUMU,tubipora,musica,NA,ORGAN-PIPE,CORAL,CPR,1,NO,NA,CO,CO,P,W,R,S,7/23/13,7/10/13,I,LO,EXEMPTIONS 6 AND 7(C),IRIS RIVERA,1,CPR,CO,CO,W
2013313815,AWIL,connochaetes,gnou,NA,BLACK,WILDEBEEST,TRO,1,NO,NA,ZA,ZA,H,W,C,C,7/24/13,7/23/13,I,SE,EXEMPTIONS 6 AND 7(C),KARL HUMAN TAXIDERMY,1,TRO,ZA,ZA,W
2013313815,BLES,damaliscus,pygargus,phillipsi,NA,BLESBOK,TRO,2,NO,NA,ZA,ZA,H,W,C,C,7/24/13,7/23/13,I,SE,EXEMPTIONS 6 AND 7(C),KARL HUMAN TAXIDERMY,1,TRO,ZA,ZA,W
2013313815,CEDA,dama,dama,NA,FALLOW,DEER,TRO,1,NO,NA,ZA,ZA,H,W,C,C,7/24/13,7/23/13,I,SE,EXEMPTIONS 6 AND 7(C),KARL HUMAN TAXIDERMY,1,TRO,ZA,ZA,W
2013313815,DADD,damaliscus,pygargus,pygargus,NA,BONTEBOK,TRO,1,NO,NA,ZA,ZA,H,W,C,C,7/24/13,7/23/13,I,SE,EXEMPTIONS 6 AND 7(C),KARL HUMAN TAXIDERMY,1,TRO,ZA,ZA,W
2013313815,FECA,caracal,caracal,NA,NA,CARACAL,TRO,1,NO,NA,ZA,ZA,H,W,C,C,7/24/13,7/23/13,I,SE,EXEMPTIONS 6 AND 7(C),KARL HUMAN TAXIDERMY,1,TRO,ZA,ZA,W
2013313815,FECA,caracal,caracal,NA,NA,CARACAL,TRO,1,NO,NA,ZA,ZA,H,W,R,A,7/24/13,7/23/13,I,SE,EXEMPTIONS 6 AND 7(C),KARL HUMAN TAXIDERMY,1,TRO,ZA,ZA,W
2013313815,NYAL,tragelaphus,angasii,NA,NA,NYALA,TRO,1,NO,NA,ZA,ZA,H,W,C,C,7/24/13,7/23/13,I,SE,EXEMPTIONS 6 AND 7(C),KARL HUMAN TAXIDERMY,1,TRO,ZA,ZA,W
2013313815,REFU,redunca,fulvorufula,NA,MOUNTAIN,REEDBUCK,TRO,1,NO,NA,ZA,ZA,H,W,C,C,7/24/13,7/23/13,I,SE,EXEMPTIONS 6 AND 7(C),KARL HUMAN TAXIDERMY,1,TRO,ZA,ZA,W
2013313815,SPRI,antidorcas,marsupialis,NA,NA,SPRINGBOK,TRO,1,NO,NA,ZA,ZA,H,W,C,C,7/24/13,7/23/13,I,SE,EXEMPTIONS 6 AND 7(C),KARL HUMAN TAXIDERMY,1,TRO,ZA,ZA,W
2013314117,ABUF,syncerus,caffer,NA,AFRICAN,BUFFALO,TRO,1,NO,NA,BJ,BJ,H,W,C,C,7/25/13,6/27/13,I,SF,EXEMPTIONS 6 AND 7(C),ALIBORI SAFARIS SARL,1,TRO,BJ,BJ,W
2013314117,REED,redunca,arundinum,NA,SOUTHERN,REEDBUCK,TRO,1,NO,NA,BJ,BJ,H,W,C,C,7/25/13,6/27/13,I,SF,EXEMPTIONS 6 AND 7(C),ALIBORI SAFARIS SARL,1,TRO,BJ,BJ,W
2013314400,LOAF,loxodonta,africana,NA,AFRICAN,ELEPHANT,SKP,6,NO,NA,ZW,ZW,H,W,R,C,9/11/13,7/18/13,I,CH,EXEMPTIONS 6 AND 7(C),SHANGAAN SAFARIS,1,SKP,ZW,ZW,W
2013314474,CT00,cetacea,NA,NA,"WHALES,DOLPHINS",ALL CETACEANS,BOP,3,NO,NA,NZ,NZ,P,W,R,S,7/8/13,7/1/13,I,SF,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,BOP,NZ,NZ,W
2013315135,GYAF,gyps,africanus,NA,AFR. WHITE-BACKED,VULTURE,FEA,1,NO,NA,ES,ES,P,W,R,S,7/26/13,7/26/13,I,CH,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,FEA,ES,ES,W
2013315196,ISOX,isurus,oxyrhinchus,NA,SHORTFIN MAKO,SHARK,JWL,2,NO,NA,WS,WS,T,W,C,C,8/9/13,7/26/13,I,HA,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,JWL,WS,WS,W
2013315196,MOLL,NA,NA,NA,SHELLS,MOLLUSCS,JWL,50,NO,NA,WS,WS,T,W,C,C,8/9/13,7/26/13,I,HA,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,JWL,WS,WS,W
2013315313,PIMX,pinctada,maxima,NA,NA,OYSTER,JWL,14,NO,NA,XX,CN,T,W,R,S,7/27/13,7/26/13,I,AN,"SHULA NEW YORK, LTD.",ICE UNIVERSAL LTD.,1,JWL,XX,CN,W
2013316465,FECO,puma,concolor,NA,NA,COUGAR,TRO,1,NO,NA,CA,CA,H,W,C,C,7/30/13,6/7/13,I,1,EXEMPTIONS 6 AND 7(C),KELOWNA TAXIDERMY INC,1,TRO,CA,CA,W
2013316465,LYNC,lynx,canadensis,NA,NORTH AMERICAN,LYNX,TRO,1,NO,NA,CA,CA,H,W,C,C,7/30/13,6/7/13,I,1,EXEMPTIONS 6 AND 7(C),KELOWNA TAXIDERMY INC,1,TRO,CA,CA,W
2013316497,BLBE,ursus,americanus,NA,AMERICAN BLACK,BEAR,TRO,1,NO,NA,CA,CA,H,W,C,C,7/30/13,6/29/13,I,1,EXEMPTIONS 6 AND 7(C),MOOSE LAKE LODGE,1,TRO,CA,CA,W
2013316697,AAER,alces,americanus,NA,NA,MOOSE,HAI,1,NO,NA,US,KE,T,W,C,C,7/30/13,7/29/13,I,ME,EXEMPTIONS 6 AND 7(C),ANGLER TROUT FLIES,1,HAI,US,KE,W
2013317426,LOXA,loxodonta,africana,NA,AFRICAN,ELEPHANT,IVC,1,NO,NA,XX,FR,P,O,C,C,7/31/13,7/30/13,I,LA,EXEMPTIONS 6 AND 7(C),SOTHEBY'S,1,IVC,XX,FR,O
2013317827,LOAF,loxodonta,africana,NA,AFRICAN,ELEPHANT,BON,2,NO,NA,ZW,ZW,H,W,C,C,8/1/13,7/4/13,I,AT,EXEMPTIONS 6 AND 7(C),TAXEIDERMY ENTERPRISES,1,BON,ZW,ZW,W
2013317951,LOXA,loxodonta,africana,NA,AFRICAN,ELEPHANT,KEY,57,NO,NA,GB,GB,P,O,C,C,8/1/13,7/9/13,I,BO,EXEMPTIONS 6 AND 7(C),PERIOD PIANO COMPANY,1,KEY,GB,GB,O
2013318011,BLBE,ursus,americanus,NA,AMERICAN BLACK,BEAR,TRO,3,NO,NA,CA,CA,H,W,C,C,8/1/13,6/7/13,I,1,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,TRO,CA,CA,W
2013318105,TS00,testudinidae,NA,NA,LAND,TORTOISES,SPR,1,NO,NA,XX,GB,P,O,C,C,8/1/13,7/31/13,I,NY,EXEMPTIONS 6 AND 7(C),LOCKSON SERVICES LTD,1,SPR,XX,GB,O
2013318178,NA,pteria,sterna,NA,NA,NA,POW,2,NO,NA,XX,MX,P,W,C,C,8/1/13,8/1/13,I,ME,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,POW,XX,MX,W
2013318369,LOAF,loxodonta,africana,NA,AFRICAN,ELEPHANT,SHO,1,NO,NA,XX,MX,T,W,R,S,7/16/13,7/16/13,I,HN,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,SHO,XX,MX,W
2013318369,LOAF,loxodonta,africana,NA,AFRICAN,ELEPHANT,LPS,1,NO,NA,XX,MX,T,W,R,S,7/16/13,7/16/13,I,HN,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,LPS,XX,MX,W
2013318592,POCI,pocillopora,species,NA,BRUSH,CORAL,COR,1,NO,NA,CN,CN,P,W,R,A,8/16/13,8/2/13,I,CH,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,COR,CN,CN,W
2013318642,BUTT,NA,NA,NA,NON-CITES,BUTTERFLIES,BOD,15,NO,NA,PE,PE,P,U,R,S,7/26/13,7/16/13,I,MI,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,BOD,PE,PE,U
2013318642,TARA,NA,NA,NA,ALL SPECIES,ALL TARANTULAS,BOD,15,NO,NA,PE,PE,P,U,R,S,7/26/13,7/16/13,I,MI,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,BOD,PE,PE,U
2013319134,CTRI,charonia,tritonis,NA,TRUMPET,SHELL,SHE,1,NO,NA,PH,DE,P,W,R,A,8/7/13,8/3/13,I,DE,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,SHE,PH,DE,W
2013319134,SC00,scleractinia,NA,NA,STONY,CORAL,ROC,2,NO,NA,PH,DE,P,W,R,A,8/7/13,8/3/13,I,DE,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,ROC,PH,DE,W
2013320210,ISBA,isostichopus,badionotus,NA,CHOCOLATE CHIP,SEA CUCUMBER,FIN,12,LB,NA,XX,CN,P,W,R,S,7/10/13,6/7/13,I,LA,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,FIN,XX,CN,W
2013320235,NA,NA,NA,NA,NA,NA,LIV,20,NO,0,BS,BS,S,W,C,C,8/6/13,7/25/13,I,MI,TRINITY UNIVERSITY,NA,3,LIV,BS,BS,W
2013320240,BD00,boidae,NA,NA,NA,BOAS,TRI,1,NO,NA,XX,CN,P,U,R,S,8/23/13,8/3/13,I,SF,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,TRI,XX,CN,U
2013320274,NONA,noncites entry,NA,NA,NA,AMPHIBIANS,BOD,520,GM,NA,LA,LA,P,U,R,S,8/23/13,8/5/13,I,SF,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,BOD,LA,LA,U